name,img_name,type,color,height,width,pixels,ppm_size_mb,csv_size_mb,ppm_read_cost,different_colors
artificial_rgb16bit,artificial,16bit,rgb,2048,3072,6291456,36.00001811981201,58.03521156311035,12.845489025115967,134683
artificial_rgb16bit_linear,artificial,16bit_linear,rgb,2048,3072,6291456,36.00001811981201,50.22856521606445,12.820176124572754,89029
artificial_rgb8bit,artificial,8bit,rgb,2048,3072,6291456,18.00001621246338,58.03521156311035,0.020929813385009766,134683
big_building_rgb16bit,big_building,16bit,rgb,5412,7216,39052992,223.4630308151245,412.0854148864746,77.33101844787598,998091
big_building_rgb16bit_linear,big_building,16bit_linear,rgb,5412,7216,39052992,223.4630308151245,321.64623069763184,75.52827763557434,289860
big_building_rgb8bit,big_building,8bit,rgb,5412,7216,39052992,111.73152256011963,412.0854148864746,0.16148686408996582,998091
big_tree_rgb16bit,big_tree,16bit,rgb,4550,6088,27700400,158.50297832489014,270.083797454834,53.24241232872009,1848912
big_tree_rgb16bit_linear,big_tree,16bit_linear,rgb,4558,6096,27785568,158.99031352996826,203.18536853790283,53.76363968849182,470019
big_tree_rgb8bit,big_tree,8bit,rgb,4550,6088,27700400,79.25149631500244,270.083797454834,0.2063615322113037,1848912
bridge_rgb16bit,bridge,16bit,rgb,4049,2749,11130701,63.69040012359619,109.31537628173828,21.491434574127197,1382182
bridge_rgb8bit,bridge,8bit,rgb,4049,2749,11130701,31.84520721435547,109.31537628173828,0.04784822463989258,1382182
cathedral_rgb16bit,cathedral,16bit,rgb,3008,2000,6016000,34.42384624481201,55.58990669250488,11.420931100845337,448652
cathedral_rgb16bit_linear,cathedral,16bit_linear,rgb,3039,2014,6120546,35.02206325531006,47.16584873199463,11.92216157913208,278211
cathedral_rgb8bit,cathedral,8bit,rgb,3008,2000,6016000,17.21193027496338,55.58990669250488,0.04737067222595215,448652
deer_rgb16bit,deer,16bit,rgb,2641,4043,10677563,61.09752368927002,102.43330669403076,20.552539825439453,795978
deer_rgb8bit,deer,8bit,rgb,2641,4043,10677563,30.548768997192383,102.43330669403076,0.045838117599487305,795978
fireworks_rgb16bit,fireworks,16bit,rgb,2352,3136,7375872,42.20509624481201,54.84866905212402,13.93506908416748,249104
fireworks_rgb16bit_linear,fireworks,16bit_linear,rgb,2450,3250,7962500,45.561808586120605,54.58275032043457,15.279776573181152,160450
fireworks_rgb8bit,fireworks,8bit,rgb,2352,3136,7375872,21.10255527496338,54.84866905212402,0.051828622817993164,249104
flower_foveon_rgb16bit,flower,16bit,rgb,1512,2268,3429216,19.62214946746826,34.34137725830078,6.325002431869507,299316
flower_foveon_rgb16bit_linear,flower,16bit_linear,rgb,1513,2267,3429971,19.626469612121582,22.992530822753906,6.648924827575684,443
flower_foveon_rgb8bit,flower,8bit,rgb,1512,2268,3429216,9.811081886291504,34.34137725830078,0.01793050765991211,299316
hdr_rgb16bit,hdr,16bit,rgb,2048,3072,6291456,36.00001811981201,62.43649959564209,11.903279304504395,437072
hdr_rgb16bit_linear,hdr,16bit_linear,rgb,2048,3072,6291456,36.00001811981201,57.17302322387695,12.265968561172485,280091
hdr_rgb8bit,hdr,8bit,rgb,2048,3072,6291456,18.00001621246338,62.43649959564209,0.030911684036254883,437072
leaves_iso_1600_rgb16bit,leaves_iso_1600,16bit,rgb,2000,3008,6016000,34.42384624481201,60.20875930786133,11.384783506393433,744069
leaves_iso_1600_rgb16bit_linear,leaves_iso_1600,16bit_linear,rgb,2014,3039,6120546,35.02206325531006,51.524868965148926,11.609350204467773,407405
leaves_iso_1600_rgb8bit,leaves_iso_1600,8bit,rgb,2000,3008,6016000,17.21193027496338,60.20875930786133,0.03090500831604004,744069
leaves_iso_200_rgb16bit,leaves_iso_200,16bit,rgb,2000,3008,6016000,34.42384624481201,60.26352405548096,11.6035315990448,589138
leaves_iso_200_rgb16bit_linear,leaves_iso_200,16bit_linear,rgb,2014,3039,6120546,35.02206325531006,51.311967849731445,12.047141551971436,371215
leaves_iso_200_rgb8bit,leaves_iso_200,8bit,rgb,2000,3008,6016000,17.21193027496338,60.26352405548096,0.026439666748046875,589138
nightshot_iso_100_rgb16bit,nightshot_iso_100,16bit,rgb,2352,3136,7375872,42.20509624481201,70.09096431732178,14.063644409179688,406562
nightshot_iso_100_rgb16bit_linear,nightshot_iso_100,16bit_linear,rgb,2450,3250,7962500,45.561808586120605,63.35236930847168,15.080683708190918,182369
nightshot_iso_100_rgb8bit,nightshot_iso_100,8bit,rgb,2352,3136,7375872,21.10255527496338,70.09096431732178,0.052341461181640625,406562
nightshot_iso_1600_rgb16bit,nightshot_iso_1600,16bit,rgb,2352,3136,7375872,42.20509624481201,66.74739456176758,14.252259969711304,500516
nightshot_iso_1600_rgb16bit_linear,nightshot_iso_1600,16bit_linear,rgb,2450,3250,7962500,45.561808586120605,60.87082004547119,15.101850748062134,173153
nightshot_iso_1600_rgb8bit,nightshot_iso_1600,8bit,rgb,2352,3136,7375872,21.10255527496338,66.74739456176758,0.03389477729797363,500516
spider_web_rgb16bit,spider_web,16bit,rgb,2848,4256,12121088,69.35743999481201,138.9848508834839,23.010045051574707,328054
spider_web_rgb16bit_linear,spider_web,16bit_linear,rgb,2036,3030,6169080,35.299777030944824,56.770737648010254,11.578253507614136,133903
spider_web_rgb8bit,spider_web,8bit,rgb,2848,4256,12121088,34.67872714996338,138.9848508834839,0.06976747512817383,328054
