datetime,file,cluster_path,timecost_cluster_calculation,k,actual_iteration,max_iteration
07:17:38-21/11/2023,artificial_rgb16bit_32,hadoop_output/artificial_rgb16bit_32/cluster-0/part-r-00000,11.601,32,1,1
07:18:11-21/11/2023,artificial_rgb16bit_linear_32,hadoop_output/artificial_rgb16bit_linear_32/cluster-0/part-r-00000,11.662,32,1,1
07:18:39-21/11/2023,artificial_rgb8bit_32,hadoop_output/artificial_rgb8bit_32/cluster-0/part-r-00000,11.42,32,1,1
07:20:02-21/11/2023,big_building_rgb16bit_32,hadoop_output/big_building_rgb16bit_32/cluster-0/part-r-00000,53.53,32,1,1
07:21:11-21/11/2023,big_building_rgb16bit_linear_32,hadoop_output/big_building_rgb16bit_linear_32/cluster-0/part-r-00000,51.552,32,1,1
07:22:21-21/11/2023,big_building_rgb8bit_32,hadoop_output/big_building_rgb8bit_32/cluster-0/part-r-00000,51.437,32,1,1
07:23:10-21/11/2023,big_tree_rgb16bit_32,hadoop_output/big_tree_rgb16bit_32/cluster-0/part-r-00000,38.417,32,1,1
07:23:55-21/11/2023,big_tree_rgb16bit_linear_32,hadoop_output/big_tree_rgb16bit_linear_32/cluster-0/part-r-00000,35.491,32,1,1
07:24:48-21/11/2023,big_tree_rgb8bit_32,hadoop_output/big_tree_rgb8bit_32/cluster-0/part-r-00000,38.449,32,1,1
07:25:17-21/11/2023,bridge_rgb16bit_32,hadoop_output/bridge_rgb16bit_32/cluster-0/part-r-00000,16.384,32,1,1
07:25:49-21/11/2023,bridge_rgb8bit_32,hadoop_output/bridge_rgb8bit_32/cluster-0/part-r-00000,16.35,32,1,1
07:26:14-21/11/2023,cathedral_rgb16bit_32,hadoop_output/cathedral_rgb16bit_32/cluster-0/part-r-00000,10.361,32,1,1
07:26:29-21/11/2023,cathedral_rgb16bit_linear_32,hadoop_output/cathedral_rgb16bit_linear_32/cluster-0/part-r-00000,10.315,32,1,1
07:26:47-21/11/2023,cathedral_rgb8bit_32,hadoop_output/cathedral_rgb8bit_32/cluster-0/part-r-00000,10.344,32,1,1
07:27:19-21/11/2023,deer_rgb16bit_32,hadoop_output/deer_rgb16bit_32/cluster-0/part-r-00000,16.268,32,1,1
07:27:50-21/11/2023,deer_rgb8bit_32,hadoop_output/deer_rgb8bit_32/cluster-0/part-r-00000,16.351,32,1,1
07:28:06-21/11/2023,fireworks_rgb16bit_32,hadoop_output/fireworks_rgb16bit_32/cluster-0/part-r-00000,12.313,32,1,1
07:28:23-21/11/2023,fireworks_rgb16bit_linear_32,hadoop_output/fireworks_rgb16bit_linear_32/cluster-0/part-r-00000,12.392,32,1,1
07:28:39-21/11/2023,fireworks_rgb8bit_32,hadoop_output/fireworks_rgb8bit_32/cluster-0/part-r-00000,12.281,32,1,1
07:28:51-21/11/2023,flower_foveon_rgb16bit_32,hadoop_output/flower_foveon_rgb16bit_32/cluster-0/part-r-00000,8.311,32,1,1
07:29:03-21/11/2023,flower_foveon_rgb16bit_linear_32,hadoop_output/flower_foveon_rgb16bit_linear_32/cluster-0/part-r-00000,8.379,32,1,1
