datetime,input_file,output_file,start_time,end_time,time_cost
12:54:41-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_2_compressed,1700196819.212092,1700196881.0227242,61.81063222885132,2
12:58:53-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_4_compressed,1700197069.398942,1700197132.415691,63.016748905181885,4
13:00:02-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_6_compressed,1700197139.226038,1700197201.849025,62.622987031936646,6
13:02:26-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_8_compressed,1700197279.2718349,1700197346.357674,67.08583903312683,8
13:03:52-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_12_compressed,1700197352.968601,1700197431.838868,78.87026691436768,12
13:05:42-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_16_compressed,1700197438.712609,1700197542.217485,103.5048758983612,16
13:08:31-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_32_compressed,1700197549.138714,1700197710.6863282,161.54761409759521,32
13:12:24-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_48_compressed,1700197717.296084,1700197943.861568,226.56548404693604,48
13:17:38-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_64_compressed,1700197950.628831,1700198257.500967,306.87213611602783,64
13:34:27-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_96_compressed,1700198264.4168398,1700198722.079606,457.6627662181854,96
13:59:30-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_128_compressed,1700199273.4711199,1700200769.271971,1495.8008511066437,128
14:14:34-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_144_compressed,1700200777.158051,1700201673.863235,896.7051839828491,144
14:59:27-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_192_compressed,1700201682.018183,1700204366.9951448,2684.97696185112,192
16:49:16-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_208_compressed,1700204374.052734,1700210955.742485,6581.689751148224,208
18:28:09-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_256_compressed,1700210962.341362,1700216889.11874,5926.777378082275,256

