datetime,input_file,output_file,start_time,end_time,time_cost,k
17:45:33-15/11/2023,cathedral_rgb16bit_linear,cathedral_rgb16bit_linear_32_compressed,1700041070.5785449,1700041533.317371,462.73882603645325,32
17:54:39-15/11/2023,nightshot_iso_100_rgb8bit,nightshot_iso_100_rgb8bit_32_compressed,1700041533.3184052,1700042079.257565,545.9391598701477,32
18:03:57-15/11/2023,fireworks_rgb16bit,fireworks_rgb16bit_32_compressed,1700042079.258195,1700042637.91238,558.6541850566864,32
18:20:56-15/11/2023,bridge_rgb16bit,bridge_rgb16bit_32_compressed,1700042637.913543,1700043656.3768342,1018.4632911682129,32
18:28:47-15/11/2023,hdr_rgb16bit,hdr_rgb16bit_32_compressed,1700043656.3779368,1700044127.306303,470.9283661842346,32
18:36:16-15/11/2023,leaves_iso_1600_rgb16bit,leaves_iso_1600_rgb16bit_32_compressed,1700044127.307464,1700044576.955452,449.6479880809784,32
18:44:08-15/11/2023,artificial_rgb8bit,artificial_rgb8bit_32_compressed,1700044576.955812,1700045048.977908,472.0220959186554,32
19:50:06-15/11/2023,big_building_rgb8bit,big_building_rgb8bit_32_compressed,1700045048.978251,1700049006.201733,3957.223482131958,32
19:57:55-15/11/2023,leaves_iso_200_rgb8bit,leaves_iso_200_rgb8bit_32_compressed,1700049006.204704,1700049475.466321,469.2616169452667,32
20:12:32-15/11/2023,bridge_rgb8bit,bridge_rgb8bit_32_compressed,1700049475.4666681,1700050352.3093681,876.8427000045776,32
20:20:26-15/11/2023,cathedral_rgb8bit,cathedral_rgb8bit_32_compressed,1700050352.3103528,1700050826.299001,473.98864817619324,32
20:25:03-15/11/2023,flower_foveon_rgb16bit,flower_foveon_rgb16bit_32_compressed,1700050826.30002,1700051103.396512,277.09649205207825,32
21:17:34-15/11/2023,big_building_rgb16bit_linear,big_building_rgb16bit_linear_32_compressed,1700051103.3971012,1700054254.488311,3151.0912098884583,32
21:33:33-15/11/2023,spider_web_rgb8bit,spider_web_rgb8bit_32_compressed,1700054254.4893281,1700055213.860524,959.3711957931519,32
21:41:36-15/11/2023,artificial_rgb16bit_linear,artificial_rgb16bit_linear_32_compressed,1700055213.8616278,1700055696.980763,483.1191351413727,32
21:50:38-15/11/2023,nightshot_iso_1600_rgb8bit,nightshot_iso_1600_rgb8bit_32_compressed,1700055696.9817998,1700056238.6272929,541.6454930305481,32
22:00:35-15/11/2023,fireworks_rgb16bit_linear,fireworks_rgb16bit_linear_32_compressed,1700056238.628321,1700056835.5286558,596.9003348350525,32
22:12:06-15/11/2023,leaves_iso_1600_rgb16bit_linear,leaves_iso_1600_rgb16bit_linear_32_compressed,1700056835.530227,1700057526.165141,690.6349141597748,32
22:39:09-15/11/2023,nightshot_iso_100_rgb16bit,nightshot_iso_100_rgb16bit_32_compressed,1700057526.167708,1700059149.5135942,1623.3458862304688,32
22:49:07-15/11/2023,nightshot_iso_1600_rgb16bit_linear,nightshot_iso_1600_rgb16bit_linear_32_compressed,1700059149.5147011,1700059747.9510841,598.4363830089569,32
23:22:03-15/11/2023,spider_web_rgb16bit,spider_web_rgb16bit_32_compressed,1700059747.951554,1700061723.914022,1975.9624679088593,32
23:35:36-15/11/2023,deer_rgb16bit,deer_rgb16bit_32_compressed,1700061723.915082,1700062536.109565,812.1944830417633,32
23:43:29-15/11/2023,artificial_rgb16bit,artificial_rgb16bit_32_compressed,1700062536.110614,1700063009.317448,473.2068338394165,32
23:56:51-15/11/2023,nightshot_iso_1600_rgb16bit,nightshot_iso_1600_rgb16bit_32_compressed,1700063009.3185549,1700063811.6573682,802.3388133049011,32
00:05:57-16/11/2023,fireworks_rgb8bit,fireworks_rgb8bit_32_compressed,1700063811.658277,1700064357.954277,546.2960000038147,32
00:14:53-16/11/2023,hdr_rgb8bit,hdr_rgb8bit_32_compressed,1700064357.954943,1700064893.639831,535.6848881244659,32
