datetime,file,time_cost,k,actual_iteration
02:07:50-01/12/2023,artificial_rgb16bit,18.85,32,1
02:08:18-01/12/2023,artificial_rgb16bit_linear,17.141,32,1
02:08:47-01/12/2023,artificial_rgb8bit,16.013,32,1
02:11:00-01/12/2023,big_building_rgb16bit,53.665,32,1
02:13:15-01/12/2023,big_building_rgb16bit_linear,53.522,32,1
02:16:24-01/12/2023,big_building_rgb8bit,64.662,32,1
02:18:02-01/12/2023,big_tree_rgb16bit,40.593,32,1
02:19:38-01/12/2023,big_tree_rgb16bit_linear,40.511,32,1
02:21:22-01/12/2023,big_tree_rgb8bit,40.454,32,1
02:22:38-01/12/2023,bridge_rgb16bit,28.644,32,1
02:23:55-01/12/2023,bridge_rgb8bit,31.635,32,1
02:24:53-01/12/2023,cathedral_rgb16bit,31.482,32,1
02:25:51-01/12/2023,cathedral_rgb16bit_linear,31.657,32,1
02:26:51-01/12/2023,cathedral_rgb8bit,31.438,32,1
02:28:07-01/12/2023,deer_rgb16bit,32.991,32,1
02:29:03-01/12/2023,deer_rgb8bit,25.408,32,1
02:29:38-01/12/2023,fireworks_rgb16bit,21.078,32,1
02:30:11-01/12/2023,fireworks_rgb16bit_linear,19.218,32,1
02:30:44-01/12/2023,fireworks_rgb8bit,20.102,32,1
02:31:01-01/12/2023,flower_foveon_rgb16bit,8.501,32,1
02:31:14-01/12/2023,flower_foveon_rgb16bit_linear,7.97,32,1
02:31:32-01/12/2023,flower_foveon_rgb8bit,9.194,32,1
02:32:04-01/12/2023,hdr_rgb16bit,17.262,32,1
02:32:35-01/12/2023,hdr_rgb16bit_linear,16.31,32,1
02:33:07-01/12/2023,hdr_rgb8bit,17.14,32,1
02:33:38-01/12/2023,leaves_iso_1600_rgb16bit,16.793,32,1
02:34:09-01/12/2023,leaves_iso_1600_rgb16bit_linear,16.995,32,1
02:34:41-01/12/2023,leaves_iso_1600_rgb8bit,17.409,32,1
02:35:12-01/12/2023,leaves_iso_200_rgb16bit,16.644,32,1
02:35:44-01/12/2023,leaves_iso_200_rgb16bit_linear,17.949,32,1
02:36:15-01/12/2023,leaves_iso_200_rgb8bit,16.507,32,1
02:36:49-01/12/2023,nightshot_iso_100_rgb16bit,16.65,32,1
02:37:30-01/12/2023,nightshot_iso_100_rgb16bit_linear,22.999,32,1
02:38:04-01/12/2023,nightshot_iso_100_rgb8bit,17.325,32,1
02:38:41-01/12/2023,nightshot_iso_1600_rgb16bit,20.577,32,1
02:39:22-01/12/2023,nightshot_iso_1600_rgb16bit_linear,23.406,32,1
02:40:01-01/12/2023,nightshot_iso_1600_rgb8bit,21.585,32,1
02:40:49-01/12/2023,spider_web_rgb16bit,20.764,32,1
02:41:21-01/12/2023,spider_web_rgb16bit_linear,17.328,32,1
02:42:07-01/12/2023,spider_web_rgb8bit,20.48,32,1
