datetime,file,cluster_path,timecost,k,actual_iteration,max_iteration
04:35:10-21/11/2023,artificial_rgb16bit_32,hadoop_output/artificial_rgb16bit_32/cluster-0/part-r-00000,9.924,32,1,1
04:35:17-21/11/2023,artificial_rgb16bit_linear_32,hadoop_output/artificial_rgb16bit_linear_32/cluster-0/part-r-00000,7.208,32,1,1
04:35:25-21/11/2023,artificial_rgb8bit_32,hadoop_output/artificial_rgb8bit_32/cluster-0/part-r-00000,7.176,32,1,1
04:36:11-21/11/2023,big_building_rgb16bit_32,hadoop_output/big_building_rgb16bit_32/cluster-0/part-r-00000,46.213,32,1,1
04:36:55-21/11/2023,big_building_rgb16bit_linear_32,hadoop_output/big_building_rgb16bit_linear_32/cluster-0/part-r-00000,44.213,32,1,1
04:37:41-21/11/2023,big_building_rgb8bit_32,hadoop_output/big_building_rgb8bit_32/cluster-0/part-r-00000,45.203,32,1,1
04:38:11-21/11/2023,big_tree_rgb16bit_32,hadoop_output/big_tree_rgb16bit_32/cluster-0/part-r-00000,30.196,32,1,1
04:38:39-21/11/2023,big_tree_rgb16bit_linear_32,hadoop_output/big_tree_rgb16bit_linear_32/cluster-0/part-r-00000,28.181,32,1,1
04:39:11-21/11/2023,big_tree_rgb8bit_32,hadoop_output/big_tree_rgb8bit_32/cluster-0/part-r-00000,32.202,32,1,1
04:39:25-21/11/2023,bridge_rgb16bit_32,hadoop_output/bridge_rgb16bit_32/cluster-0/part-r-00000,13.176,32,1,1
04:39:38-21/11/2023,bridge_rgb8bit_32,hadoop_output/bridge_rgb8bit_32/cluster-0/part-r-00000,13.178,32,1,1
04:39:45-21/11/2023,cathedral_rgb16bit_32,hadoop_output/cathedral_rgb16bit_32/cluster-0/part-r-00000,7.175,32,1,1
04:39:52-21/11/2023,cathedral_rgb16bit_linear_32,hadoop_output/cathedral_rgb16bit_linear_32/cluster-0/part-r-00000,7.172,32,1,1
04:40:00-21/11/2023,cathedral_rgb8bit_32,hadoop_output/cathedral_rgb8bit_32/cluster-0/part-r-00000,7.177,32,1,1
04:40:12-21/11/2023,deer_rgb16bit_32,hadoop_output/deer_rgb16bit_32/cluster-0/part-r-00000,12.172,32,1,1
04:40:24-21/11/2023,deer_rgb8bit_32,hadoop_output/deer_rgb8bit_32/cluster-0/part-r-00000,12.185,32,1,1
04:40:33-21/11/2023,fireworks_rgb16bit_32,hadoop_output/fireworks_rgb16bit_32/cluster-0/part-r-00000,9.173,32,1,1
04:40:42-21/11/2023,fireworks_rgb16bit_linear_32,hadoop_output/fireworks_rgb16bit_linear_32/cluster-0/part-r-00000,9.183,32,1,1
04:40:52-21/11/2023,fireworks_rgb8bit_32,hadoop_output/fireworks_rgb8bit_32/cluster-0/part-r-00000,9.168,32,1,1
04:40:57-21/11/2023,flower_foveon_rgb16bit_32,hadoop_output/flower_foveon_rgb16bit_32/cluster-0/part-r-00000,5.193,32,1,1
04:41:01-21/11/2023,flower_foveon_rgb16bit_linear_32,hadoop_output/flower_foveon_rgb16bit_linear_32/cluster-0/part-r-00000,4.181,32,1,1
04:41:06-21/11/2023,flower_foveon_rgb8bit_32,hadoop_output/flower_foveon_rgb8bit_32/cluster-0/part-r-00000,5.165,32,1,1
04:41:14-21/11/2023,hdr_rgb16bit_32,hadoop_output/hdr_rgb16bit_32/cluster-0/part-r-00000,8.171,32,1,1
04:41:22-21/11/2023,hdr_rgb16bit_linear_32,hadoop_output/hdr_rgb16bit_linear_32/cluster-0/part-r-00000,7.174,32,1,1
04:41:30-21/11/2023,hdr_rgb8bit_32,hadoop_output/hdr_rgb8bit_32/cluster-0/part-r-00000,8.177,32,1,1
04:41:37-21/11/2023,leaves_iso_1600_rgb16bit_32,hadoop_output/leaves_iso_1600_rgb16bit_32/cluster-0/part-r-00000,7.185,32,1,1
04:41:44-21/11/2023,leaves_iso_1600_rgb16bit_linear_32,hadoop_output/leaves_iso_1600_rgb16bit_linear_32/cluster-0/part-r-00000,7.163,32,1,1
04:41:51-21/11/2023,leaves_iso_1600_rgb8bit_32,hadoop_output/leaves_iso_1600_rgb8bit_32/cluster-0/part-r-00000,7.168,32,1,1
04:41:59-21/11/2023,leaves_iso_200_rgb16bit_32,hadoop_output/leaves_iso_200_rgb16bit_32/cluster-0/part-r-00000,7.17,32,1,1
04:42:06-21/11/2023,leaves_iso_200_rgb16bit_linear_32,hadoop_output/leaves_iso_200_rgb16bit_linear_32/cluster-0/part-r-00000,7.171,32,1,1
04:42:13-21/11/2023,leaves_iso_200_rgb8bit_32,hadoop_output/leaves_iso_200_rgb8bit_32/cluster-0/part-r-00000,7.182,32,1,1
