datetime,file,time_cost,k,actual_iteration
07:36:54-21/11/2023,artificial_rgb16bit,14.033,32,1
07:37:07-21/11/2023,artificial_rgb16bit_linear,12.538,32,1
07:37:19-21/11/2023,artificial_rgb8bit,12.428,32,1
07:38:36-21/11/2023,big_building_rgb16bit,76.312,32,1
07:39:52-21/11/2023,big_building_rgb16bit_linear,75.919,32,1
07:41:08-21/11/2023,big_building_rgb8bit,76.354,32,1
07:42:02-21/11/2023,big_tree_rgb16bit,54.073,32,1
07:42:55-21/11/2023,big_tree_rgb16bit_linear,52.712,32,1
07:43:48-21/11/2023,big_tree_rgb8bit,53.508,32,1
07:44:10-21/11/2023,bridge_rgb16bit,21.729,32,1
07:44:32-21/11/2023,bridge_rgb8bit,21.516,32,1
07:44:43-21/11/2023,cathedral_rgb16bit,11.61,32,1
07:44:55-21/11/2023,cathedral_rgb16bit_linear,11.627,32,1
07:45:07-21/11/2023,cathedral_rgb8bit,11.688,32,1
07:45:27-21/11/2023,deer_rgb16bit,20.712,32,1
07:45:48-21/11/2023,deer_rgb8bit,20.638,32,1
07:46:03-21/11/2023,fireworks_rgb16bit,14.565,32,1
07:46:18-21/11/2023,fireworks_rgb16bit_linear,15.81,32,1
07:46:33-21/11/2023,fireworks_rgb8bit,14.152,32,1
07:46:39-21/11/2023,flower_foveon_rgb16bit,6.743,32,1
07:46:46-21/11/2023,flower_foveon_rgb16bit_linear,6.613,32,1
07:46:53-21/11/2023,flower_foveon_rgb8bit,6.718,32,1
07:47:05-21/11/2023,hdr_rgb16bit,12.177,32,1
07:47:17-21/11/2023,hdr_rgb16bit_linear,12.036,32,1
07:47:29-21/11/2023,hdr_rgb8bit,12.125,32,1
07:47:41-21/11/2023,leaves_iso_1600_rgb16bit,11.602,32,1
07:47:53-21/11/2023,leaves_iso_1600_rgb16bit_linear,11.751,32,1
07:48:04-21/11/2023,leaves_iso_1600_rgb8bit,11.7,32,1
07:48:16-21/11/2023,leaves_iso_200_rgb16bit,11.654,32,1
07:48:28-21/11/2023,leaves_iso_200_rgb16bit_linear,11.942,32,1
07:48:40-21/11/2023,leaves_iso_200_rgb8bit,11.843,32,1
07:48:55-21/11/2023,nightshot_iso_100_rgb16bit,14.856,32,1
07:49:10-21/11/2023,nightshot_iso_100_rgb16bit_linear,15.056,32,1
07:49:24-21/11/2023,nightshot_iso_100_rgb8bit,14.122,32,1
07:49:38-21/11/2023,nightshot_iso_1600_rgb16bit,14.054,32,1
07:49:53-21/11/2023,nightshot_iso_1600_rgb16bit_linear,15.059,32,1
07:50:07-21/11/2023,nightshot_iso_1600_rgb8bit,14.208,32,1
07:50:31-21/11/2023,spider_web_rgb16bit,23.489,32,1
07:50:43-21/11/2023,spider_web_rgb16bit_linear,11.711,32,1
07:51:06-21/11/2023,spider_web_rgb8bit,23.311,32,1
