datetime,file,cluster_path,timecost_cluster_calculation,k,actual_iteration,max_iteration
09:15:16-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_2/cluster-3/part-r-00000,32.201,2,4,100
09:16:37-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_4/cluster-5/part-r-00000,47.662,4,6,100
09:19:46-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_6/cluster-12/part-r-00000,98.543,6,13,100
09:21:00-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_8/cluster-4/part-r-00000,39.923,8,5,100
09:23:02-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_12/cluster-12/part-r-00000,110.876,12,13,100
09:24:36-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_16/cluster-7/part-r-00000,69.244,16,8,100
09:29:03-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_48/cluster-14/part-r-00000,155.317,48,15,100
09:32:06-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_64/cluster-15/part-r-00000,169.699,64,16,100
09:35:39-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_96/cluster-13/part-r-00000,174.066,96,14,100
09:40:10-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_144/cluster-15/part-r-00000,245.043,144,16,100
09:46:06-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_196/cluster-17/part-r-00000,319.979,196,18,100
09:53:27-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_208/cluster-21/part-r-00000,400.917,208,22,100
10:00:02-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_256/cluster-17/part-r-00000,370.415,256,18,100
10:01:07-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_3/cluster-3/part-r-00000,32.579,3,4,100
10:02:16-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_5/cluster-6/part-r-00000,54.573,5,7,100
