datetime,file,cluster_path,new_image_path,image_generation_time_cost,k,actual_iteration
10:10:11-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_12/cluster-12/part-r-00000,spark_output/artificial_rgb16bit_12/part-00000,8.478,12,13
10:10:59-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_144/cluster-15/part-r-00000,spark_output/artificial_rgb16bit_144/part-00000,47.925,144,16
10:11:14-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_16/cluster-7/part-r-00000,spark_output/artificial_rgb16bit_16/part-00000,14.49,16,8
10:12:50-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_196/cluster-17/part-r-00000,spark_output/artificial_rgb16bit_196/part-00000,96.287,196,18
10:12:56-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_2/cluster-3/part-r-00000,spark_output/artificial_rgb16bit_2/part-00000,5.385,2,4
10:14:56-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_208/cluster-21/part-r-00000,spark_output/artificial_rgb16bit_208/part-00000,120.486,208,22
10:17:26-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_256/cluster-17/part-r-00000,spark_output/artificial_rgb16bit_256/part-00000,149.686,256,18
10:17:32-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_3/cluster-3/part-r-00000,spark_output/artificial_rgb16bit_3/part-00000,5.89,3,4
10:17:38-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_4/cluster-5/part-r-00000,spark_output/artificial_rgb16bit_4/part-00000,6.482,4,6
10:18:13-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_48/cluster-14/part-r-00000,spark_output/artificial_rgb16bit_48/part-00000,34.801,48,15
10:18:21-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_5/cluster-6/part-r-00000,spark_output/artificial_rgb16bit_5/part-00000,7.211,5,7
10:18:28-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_6/cluster-12/part-r-00000,spark_output/artificial_rgb16bit_6/part-00000,7.785,6,13
10:19:12-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_64/cluster-15/part-r-00000,spark_output/artificial_rgb16bit_64/part-00000,43.728,64,16
10:19:21-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_8/cluster-4/part-r-00000,spark_output/artificial_rgb16bit_8/part-00000,9.049,8,5
10:20:24-21/11/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_96/cluster-13/part-r-00000,spark_output/artificial_rgb16bit_96/part-00000,62.84,96,14
